,album_name,album_id,artist_name,artist_id,song_name,release_date,album_uri,song_id,uri,duration_ms,explicit,popularity
70,Sad,35aISWjjpmBH3K1zZ8ZTYP,Alexander 23,6sFHvCyqklnJpXC9Nh1aag,Sad,2019-07-12,spotify:album:35aISWjjpmBH3K1zZ8ZTYP,5Ybp65SomeSJEj8xmUARdA,spotify:track:5Ybp65SomeSJEj8xmUARdA,163066,False,0
71,Her,1XtTygUdUqtwPyErnZxLbR,DPR LIVE,0siBQaURCli5wn2lqv8WZg,Martini Blue,2017-12-07,spotify:album:1XtTygUdUqtwPyErnZxLbR,7zDu3l7DDlfSlt20YMKkWo,spotify:track:7zDu3l7DDlfSlt20YMKkWo,195204,False,58
72,Immunity,4kkVGtCqE2NiAKosri9Rnd,Clairo,3l0CmX0FuQjFxr8SK7Vqag,Softly,2019-08-02,spotify:album:4kkVGtCqE2NiAKosri9Rnd,4PvbbMYL4fkToni5BLaYRb,spotify:track:4PvbbMYL4fkToni5BLaYRb,185306,False,70
73,Hit Me Up,0sWQFBl9e6A9tL4CqFT9X8,Omar Apollo,5FxD8fkQZ6KcsSYupDVoSO,Hit Me Up,2019-11-05,spotify:album:0sWQFBl9e6A9tL4CqFT9X8,0Lhy1sDDdtUFY2pyq2ZVi9,spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9,160000,True,64
74,Hit Me Up,0sWQFBl9e6A9tL4CqFT9X8,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,Hit Me Up,2019-11-05,spotify:album:0sWQFBl9e6A9tL4CqFT9X8,0Lhy1sDDdtUFY2pyq2ZVi9,spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9,160000,True,64
75,Hit Me Up,0sWQFBl9e6A9tL4CqFT9X8,Kenny Beats,1rHOtdmGNr5vcYNw5v7QGC,Hit Me Up,2019-11-05,spotify:album:0sWQFBl9e6A9tL4CqFT9X8,0Lhy1sDDdtUFY2pyq2ZVi9,spotify:track:0Lhy1sDDdtUFY2pyq2ZVi9,160000,True,64
76,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),2HZuNcdyDP2IA2T7MtTWcv,Free Nationals,4596e2d3KmYzAeVenjCxfj,Beauty & Essex (feat. Daniel Caesar & Unknown Mortal Orchestra),2018-10-10,spotify:album:2HZuNcdyDP2IA2T7MtTWcv,4ej94zqr9xYLbWphCH3TcD,spotify:track:4ej94zqr9xYLbWphCH3TcD,277046,True,52
77,Shibuya,5COwxcrDHpm6t439Cuba4p,Free Nationals,4596e2d3KmYzAeVenjCxfj,Shibuya,2019-11-08,spotify:album:5COwxcrDHpm6t439Cuba4p,5G7602PyF33hYDi4utEpoZ,spotify:track:5G7602PyF33hYDi4utEpoZ,144515,False,51
78,Something About Us (instrumental),6IEZdQozsCqWCPZQDfQLqS,Kaminsky,2fG76qj8LhS6jhyZuqaUkm,Something About Us (instrumental),2013,spotify:album:6IEZdQozsCqWCPZQDfQLqS,3AqXknt2P2FDcgasp4VVNI,spotify:track:3AqXknt2P2FDcgasp4VVNI,261381,False,40
79,Paint California,48pAFeFkeIcpZ3X2wGp5Lm,NoMBe,5Lhxlge1CR1DrgDAje8Qaw,Paint California,2019-12-04,spotify:album:48pAFeFkeIcpZ3X2wGp5Lm,2ZlgqiomIrjvkuWFDSVOLY,spotify:track:2ZlgqiomIrjvkuWFDSVOLY,207133,False,57
80,Downtown Love,3wPK4QuD4gCPaOfosQfFyO,Calvin Priice,55Z3Xi6ID6z799AyGHjr6u,Downtown Love,2018-05-13,spotify:album:3wPK4QuD4gCPaOfosQfFyO,5cnD97Kg28dJGGdBv72sDl,spotify:track:5cnD97Kg28dJGGdBv72sDl,196082,True,34
81,Bad Groove,2L9RuvDYq8NFqJZihRqa4f,Ks French,1ew9xfiJEQ4Suu9JaqQn05,Baltisoul,2018-03-27,spotify:album:2L9RuvDYq8NFqJZihRqa4f,3VStQ5giIkRU9Rjh31TGH8,spotify:track:3VStQ5giIkRU9Rjh31TGH8,246368,False,41
